02-03-25 17:11:59,798 | TRACE | NormalizingIdentifierHelperImpl | Normalizing identifier quoting [null]
02-03-25 17:11:59,799 | TRACE | AbstractServiceRegistryImpl | Initializing service [role=org.hibernate.cache.spi.CacheImplementor]
02-03-25 17:11:59,807 | DEBUG | SessionFactoryImpl   | Session factory constructed with filter configurations : {}
02-03-25 17:12:00,023 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(max)] under max; prior registration was null
02-03-25 17:12:00,023 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(min)] under min; prior registration was null
02-03-25 17:12:00,023 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(sum)] under sum; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(avg)] under avg; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.CountFunction@429f7919] under count; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.EveryAnyEmulation@529c2a9a] under every; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [org.hibernate.dialect.function.EveryAnyEmulation@3c87fdf2] under any; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(floor)] under floor; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(ceiling)] under ceiling; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(mod)] under mod; prior registration was null
02-03-25 17:12:00,038 | DEBUG | SqmFunctionRegistry  | Registered SqmFunctionTemplate [NamedSqmFunctionTemplate(abs)] under abs; prior registration was null
